Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
900.0,-12.573894397223809,900.0,-1.1702438405374997,900.0,-20.330860970897856
910.0,-12.575418316813485,910.0,-1.0326626658278883,910.0,-20.3349307290346
920.0,-12.576938562080338,920.0,-0.8953312271233498,920.0,-20.33651692169894
930.0,-12.57845364508162,930.0,-0.7582513375483966,930.0,-20.335838381194154
940.0,-12.579962420617754,940.0,-0.6214304208804496,940.0,-20.33282448901527
950.0,-12.581463998408834,950.0,-0.4848735624169842,950.0,-20.327382247118376
960.0,-12.582957561005788,960.0,-0.3485841467572654,960.0,-20.319425040970707
970.0,-12.584442256345937,970.0,-0.21256431067851989,970.0,-20.308870553830946
980.0,-12.585917261325015,980.0,-0.07681531373951393,980.0,-20.29563877614782
990.0,-12.587381838993448,990.0,0.058662198459815074,990.0,-20.279659443911708
1000.0,-12.588835362469105,1000.0,0.19386801726243402,1000.0,-20.26088147901858
1010.0,-12.590277358279932,1010.0,0.32880223240988427,1010.0,-20.23928163598775
1020.0,-12.591707558688178,1020.0,0.46346512993441286,1020.0,-20.214874729357422
1030.0,-12.59312590186853,1030.0,0.5978571201444856,1030.0,-20.18772062902474
1040.0,-12.59453246239061,1040.0,0.731978709266395,1040.0,-20.157919987628773
1050.0,-12.595927438035591,1050.0,0.8658304770260773,1050.0,-20.125606586267516
1060.0,-12.597311165210211,1060.0,0.9994130571364783,1060.0,-20.090943878019722
1070.0,-12.598684096431745,1070.0,1.1327272686337848,1070.0,-20.054093441393565
1080.0,-12.600044417078132,1080.0,1.2657945052521868,1080.0,-20.01245285674457
1090.0,-12.601395278229937,1090.0,1.3986074385410527,1090.0,-19.97075015551223
1100.0,-12.602737779790711,1100.0,1.5311677162689086,1100.0,-19.928800928171317
1110.0,-12.604071877629726,1110.0,1.6634757579424089,1110.0,-19.88530361478188
1120.0,-12.605398696613621,1120.0,1.7955260795073826,1120.0,-19.840598931757587
1130.0,-12.606719663559865,1130.0,1.92731520315574,1130.0,-19.795024908263752
1140.0,-12.608036513370239,1140.0,2.058841003657796,1140.0,-19.748972647822946
1150.0,-12.60935130136886,1150.0,2.1901022409569446,1150.0,-19.702907029868598
1160.0,-12.61066631226701,1160.0,2.3210982836951004,1160.0,-19.657372043052785
1170.0,-12.61198343658405,1170.0,2.4518291337455533,1170.0,-19.612907990054286
1180.0,-12.613303501829675,1180.0,2.582295533250814,1180.0,-19.569875391577796
